Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
990259909	Østre Strøm Fus barnehage AS	17
973608770	Asak Kommunal barnehage	16.5
984134274	Bitteliten Familiebarnehage Trine Dahl	2.3
973609009	Breidablikk Kommunale barnehage	15
984255012	Brånåstoppen Fus barnehage	17.8
991542221	Bråtejorde barnehage	25
977066026	Espira Kunnskapsbyen barnehage	28.4
984914598	Furulund barnehage	14.6
974555824	Hagan barnehage	12
988735248	Hakkebakkeskogen Familiebarnehage Elisabeth Borgersen	1.2
973484532	Holthagen barnehage	14
982251672	Hundremeterskogen Familiebarnehage	1.3
994939564	Kanutten Familiebarnehage Bremnes	1.1
974555832	Kjeller barnehage	34.5
995107716	Knerten Familiebarnehage	1
974555840	Korshagen Kommunale barnehage	15.8
991552758	Kragerud barnehage AS	18
984723628	Lahaug Gårds- og Naturbarnehage AS	6
980840034	Lille Krabat Familiebarnehage Avd Kjeller	2.9
984403569	Lillehagen Fus barnehage AS	17
973608851	Lillestrøm barnehage	15.5
992366389	Linbråten barnehage	38
884815452	Løvehjerte Fus barnehage AS	17.5
973608800	Melby barnehage	15
973608843	Måsan barnehage	12
973065815	Noas Ark barnehage	6
987636254	Normisjon Lillestrøm Åpen barnehage	1.1
984896212	Portveien Familiebarnehage AS	2.4
988529036	Riisløkka barnehage	47.8
992763809	Sagelva barnehage	29
987801638	Sesam Familiebarnehage Avd. Pelikan Naziha Nouri	1.1
988180866	Skolsegglia Fus barnehage AS	17
979586701	Solhaug barnehage	12.5
988835625	Stalsberg Familiebarnehage Tott	1.1
989012037	Sten-Tærud barnehage	21.5
974555859	Strømmmen Kommunale barnehage	18.2
999386725	Svanen Familie barnehage Mahnaz Hosseini	1.1
983759823	Sølepytten barnehage AS	3.2
972215481	Toppen barnehage	16
973608746	Tæruddalen barnehage	9
973608835	Uglebakken barnehage	13.8
973065807	Valstadtoppen Korttidsbarnehage	3.2
876503212	Varden Priv barnehage	14.4
980470865	Vardeåsen Nærmiljøsenter Avd Barnehage	17.1
974555867	Vestvollen barnehage	13
973608797	Volla barnehage	17.6
973608827	Åsenhagen barnehage	10.8
991647597	Bakkebygrenda barnehage	10.2
973595202	Bjørkekroken barnehage	11
974593742	Bøleråsen barnehage	10
987861649	Dalstunet barnehage	14.6
974593777	Dynamitten barnehage	12
915634494	Finstadbekken barnehage	16
983267181	Hebekkskogen barnehage	16
974156245	Hoelshytta barnehage	5
974156253	Jettegryta barnehage	6
874593672	Kråkstad barnehage	21.5
992788763	Langhus barnehage	21.5
974503913	Maurtua barnehage AS	7.1
874593702	Nordre Finstad barnehage	15
972285501	Rosenlund barnehage	14.4
974593459	Siggerud barnehage	17
891392362	Siggerud Gård barnehage	15
984649630	Ski Familiebarnehage	1.1
995086476	Ski Familiebarnehage Hundremeterskogen	2.2
974593432	Skoghus barnehage	16
973595199	Skoglia barnehage	12
917434077	Skotbu barnehage	8
974593750	Smedsrud barnehage	14.4
974195135	Spilloppen barnehage	5
986927301	Trollskogen barnehage	17
974593661	Tussestien barnehage	13
974593424	Vestråt barnehage	16.6
911955091	Vestveien barnehage	11
977556791	Vevelstadsaga barnehage Sa	15
974593467	Vevelstadåsen barnehage	10
888839542	Villenga barnehage	18
974593440	Øvre Hebekk barnehage	14
987244550	100-Meterskogen	2.1
984168160	Brusletta barnehage Sa	15
