Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
975325938	Fjellsrud barnehage	0	7	10	20	18	19
918282203	Framtia barnehage	0	13	17	27	23	21
975301877	Grønlia barnehage	0	11	18	17	16	21
990285098	Gülserens Familiebarnehage	0	2	2	0	0	0
995108186	Hundremeterskogen Familiebarnehage	0	2	2	0	0	0
975315487	Kjenn barnehage	0	15	19	19	16	16
975323080	Klubben barnehage	0	0	4	3	7	8
984335180	Kløverhagen Familiebarnehage	0	4	0	0	0	0
890063292	Kløverhagen Familiebarnehage 2 Inger Elisabeth Bjørnsrud Olaussen	1	1	2	0	0	0
975318222	Kurland barnehage	0	11	14	19	20	19
987004436	Langgrunna Private Familiebarnehage	0	2	2	0	0	0
988957860	Lille Stjerne Familiebarnehage	0	3	1	0	0	0
988345482	Luna Familiebarnehage Avdeling Fjellhamar	0	6	2	0	0	0
918340556	Luna Familiebarnehage Avdeling Skårer	0	6	2	0	0	0
976344529	Læringsverkstedet barnehage Avd Margaretalia	1	9	9	7	10	10
975301885	Løken barnehage	1	13	20	16	20	18
975301893	Løkenåsen barnehage	0	7	14	12	11	11
995108208	Lørenskog Familiebarnehage	2	2	0	0	0	0
984230419	Nesåsen barnehage Sa	0	6	12	13	14	9
975301907	Rasta barnehage	0	16	16	15	17	18
886009232	Regnbuen barnehage Lørenskog	0	2	9	9	11	12
988317314	Rolvsrud barnehage	0	9	16	21	20	24
973346679	Skårungen Barnehave Sa	0	5	2	10	2	5
986707093	Småknøttene Familiebarnehage	0	1	3	0	0	0
975301915	Solheim barnehage	0	9	18	15	19	15
995108216	Solheim Familiebarnehage	0	1	1	1	1	0
973464906	Stiftelsen Idavollen Steinerbarnehage	1	4	12	11	8	13
972773816	Sørli barnehage	0	8	10	12	9	15
892310262	Takt og Tone	0	3	6	6	4	8
981525337	Takt og Tone AS	0	2	7	5	6	6
985828873	Tre Troll	0	10	10	11	10	10
975301923	Vallerud barnehage	0	10	12	11	15	14
973484265	Vangen barnehage Sa	0	5	9	12	13	11
988267740	Åsheimskog Fus barnehage AS	1	15	14	18	15	15
875302132	Bjerke barnehage	0	6	12	16	19	23
985323852	Bjerketun barnehage	0	0	3	1	3	6
987381035	Breenenga Fus barnehage AS	2	12	17	26	11	13
984914571	Eltonåsen barnehage	0	13	15	18	15	18
975302148	Holter barnehage	0	19	19	22	21	25
988532754	Kringler - Slattum barnehage	0	8	5	8	6	10
992782765	Læringsverkstedet barnehage Avd Maura	0	17	3	8	5	12
987811412	Løkka barnehage AS	0	4	4	6	5	0
975302156	Midtbygda barnehage	0	4	19	13	24	25
989305425	Prestmosen Fus barnehage AS	0	11	20	21	13	12
973501151	Solheim barnehage Al	0	7	12	18	12	19
975315371	Auli barnehage	1	8	9	18	9	14
987806230	Espira Furuholmen barnehage	1	9	17	10	14	17
988116246	Espira Kløverenga barnehage	3	21	15	26	18	22
992223162	Espira Opaker barnehage	2	19	17	19	15	25
896210882	Hoppensprett Brårud	1	6	9	6	10	9
975302083	Hoppensprett Fjellfoten	0	11	13	23	18	17
973683225	Husmo barnehage Sa	0	9	11	12	11	12
973514067	Korsdalen barnehage AS Avd Grendehusvegen	0	13	16	21	15	19
991239022	Korsdalen barnehage AS Avd Hagadalen	0	8	10	12	14	6
973456989	Læringsverkstedet barnehage Avd Haga	1	12	18	13	8	7
819294542	Læringsverkstedet barnehage Avd Øvre Neskollen	1	20	9	5	3	1
986911081	Neskollen Melkevegen barnehage	0	20	24	24	29	31
987278595	Neskollen Tellusvegen barnehage	0	10	26	16	25	30
982978815	Skogbygda barnehage	0	6	8	11	9	6
975295788	Svarverud barnehage	0	13	16	20	17	24
979428812	Tomteråsen barnehage Sa	0	8	8	10	10	15
973348973	Udnes Naturbarnehage AS	0	0	0	3	3	7
972399450	Vormsund barnehage Sa	1	6	16	14	12	15
973454862	Alværn barnehage Sa	0	3	2	2	5	1
973597639	Askeladden barnehage	0	0	1	4	7	5
973706160	Aurora Steinerbarnehage	0	2	8	6	3	7
990596182	Balderblom Anne Kristin Rustad	1	2	5	0	0	0
973454870	Bergerkollektivet barnehage	0	0	2	3	6	5
975301729	Bjørnemyr barnehage	0	13	4	9	3	8
973936301	Ellingstad barnehage AS	0	4	9	6	6	8
988725919	Fager Skog Fus barnehage AS	1	13	15	12	15	7
975301745	Fagerstrand barnehage	0	16	15	19	22	20
997115953	Fjellveien barnehage	0	1	8	4	6	5
984168349	Fjordvangen barnehage	0	6	8	14	14	20
995458268	Hagebagen Familiebarnehage Synnøve Fylling	0	7	1	0	0	0
